iter	Passed	Remaining
0	138	138261
1	138	69355
2	139	46388
3	140	34893
4	140	27996
5	141	23396
6	141	20111
7	142	17647
8	142	15745
9	143	14214
10	144	12961
11	144	11917
12	145	11031
13	145	10271
14	146	9614
15	146	9039
16	147	8531
17	148	8080
18	149	7697
19	149	7343
20	150	7016
21	151	6716
22	151	6442
23	152	6190
24	152	5958
25	153	5744
26	153	5546
27	154	5366
28	155	5198
29	155	5039
30	156	4891
31	157	4751
32	157	4620
33	158	4496
34	158	4379
35	159	4269
36	160	4165
37	161	4079
38	161	3986
39	162	3911
40	163	3827
41	164	3746
42	164	3668
43	165	3594
44	166	3523
45	166	3458
46	167	3396
47	168	3338
48	168	3278
49	169	3220
50	170	3165
51	170	3112
52	171	3060
53	171	3009
54	172	2963
55	173	2920
56	173	2875
57	174	2832
58	174	2790
59	175	2750
60	176	2712
61	176	2675
62	177	2638
63	177	2602
64	178	2570
65	179	2540
66	180	2511
67	180	2479
68	181	2449
69	182	2419
70	182	2390
71	183	2361
72	183	2334
73	184	2306
74	184	2281
75	185	2256
76	186	2231
77	186	2207
78	187	2183
79	187	2160
80	188	2137
81	188	2115
82	189	2091
83	189	2070
84	190	2050
85	191	2031
86	192	2016
87	192	1997
88	193	1978
89	193	1960
90	194	1942
91	195	1924
92	195	1907
93	196	1890
94	196	1873
95	197	1857
96	197	1842
97	198	1826
98	199	1811
99	199	1796
100	200	1781
101	200	1766
102	201	1752
103	201	1738
104	202	1725
105	202	1711
106	204	1703
107	204	1691
108	205	1678
109	205	1666
110	206	1654
111	207	1642
112	207	1629
113	208	1618
114	208	1606
115	209	1595
116	210	1585
117	210	1576
118	211	1565
119	212	1554
120	212	1544
121	213	1533
122	213	1523
123	214	1513
124	214	1503
125	215	1493
126	216	1485
127	217	1479
128	217	1471
129	218	1462
130	219	1453
131	219	1444
132	220	1435
133	220	1426
134	221	1417
135	221	1409
136	222	1401
137	223	1394
138	223	1387
139	224	1379
140	225	1371
141	225	1362
142	226	1354
143	226	1347
144	227	1339
145	227	1332
146	228	1325
147	229	1318
148	229	1311
149	230	1304
150	230	1297
151	231	1290
152	232	1284
153	232	1278
154	233	1271
155	233	1264
156	234	1258
157	235	1254
158	236	1248
159	236	1242
160	236	1234
161	237	1228
162	238	1222
163	238	1216
164	239	1210
165	239	1204
166	240	1198
167	241	1193
168	241	1189
169	242	1184
170	243	1179
171	243	1173
172	244	1168
173	245	1163
174	245	1159
175	246	1154
176	247	1149
177	247	1145
178	248	1140
179	249	1135
180	249	1130
181	250	1125
182	250	1120
183	251	1115
184	252	1110
185	252	1105
186	253	1100
187	254	1097
188	254	1092
189	255	1088
190	255	1083
191	256	1079
192	257	1074
193	257	1070
194	258	1065
195	258	1061
196	259	1056
197	260	1054
198	260	1050
199	261	1045
200	262	1041
201	262	1037
202	263	1033
203	263	1028
204	264	1024
205	264	1020
206	265	1016
207	266	1013
208	267	1010
209	267	1007
210	268	1003
211	268	999
212	269	995
213	270	991
214	270	987
215	271	984
216	271	980
217	272	977
218	273	973
219	273	970
220	274	966
221	274	963
222	275	959
223	275	956
224	276	952
225	277	948
226	277	945
227	278	942
228	279	939
229	279	936
230	280	933
231	281	930
232	281	927
233	282	923
234	282	920
235	283	917
236	283	913
237	284	910
238	285	908
239	285	905
240	286	902
241	287	899
242	287	896
243	288	893
244	288	890
245	289	887
246	289	884
247	290	881
248	291	878
249	291	875
250	292	872
251	293	869
252	293	867
253	294	864
254	294	861
255	295	858
256	295	855
257	296	852
258	297	851
259	298	849
260	299	846
261	299	844
262	300	841
263	300	838
264	301	835
265	301	833
266	302	831
267	303	828
268	304	826
269	304	823
270	305	821
271	306	819
272	306	816
273	307	814
274	307	811
275	308	809
276	309	807
277	310	805
278	310	803
279	311	800
280	311	798
281	312	795
282	313	793
283	313	790
284	314	788
285	314	785
286	315	783
287	316	781
288	316	779
289	317	777
290	318	775
291	318	772
292	319	770
293	319	768
294	320	765
295	321	763
296	321	761
297	322	759
298	323	757
299	323	755
300	324	753
301	324	750
302	325	748
303	326	746
304	326	744
305	327	742
306	327	740
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	331	728
313	332	726
314	333	724
315	333	722
316	334	720
317	335	718
318	335	716
319	336	714
320	336	712
321	337	710
322	337	708
323	338	706
324	339	704
325	339	702
326	340	700
327	341	698
328	341	697
329	342	695
330	342	693
331	343	691
332	344	689
333	344	687
334	345	685
335	345	683
336	346	681
337	347	680
338	347	678
339	348	676
340	349	674
341	349	672
342	350	670
343	350	668
344	351	667
345	351	665
346	352	664
347	353	662
348	354	660
349	354	658
350	355	656
351	355	655
352	356	653
353	356	651
354	357	649
355	358	648
356	358	646
357	359	644
358	360	643
359	360	641
360	361	639
361	362	638
362	362	636
363	363	634
364	363	632
365	364	631
366	364	629
367	365	627
368	366	626
369	366	624
370	367	622
371	367	621
372	368	619
373	369	617
374	369	615
375	370	614
376	370	612
377	371	610
378	372	609
379	372	608
380	373	606
381	373	605
382	374	603
383	375	601
384	375	600
385	376	598
386	376	596
387	377	595
388	378	594
389	378	592
390	379	591
391	380	589
392	380	587
393	381	586
394	381	584
395	382	583
396	382	581
397	383	580
398	384	579
399	385	578
400	386	576
401	386	575
402	387	573
403	387	572
404	388	570
405	389	569
406	389	567
407	390	566
408	391	565
409	391	563
410	392	562
411	392	560
412	393	559
413	393	557
414	394	556
415	395	554
416	395	553
417	396	551
418	397	550
419	397	549
420	398	547
421	398	546
422	399	544
423	399	543
424	400	541
425	401	540
426	401	539
427	402	538
428	403	536
429	404	535
430	404	534
431	405	532
432	405	531
433	406	529
434	406	528
435	407	527
436	408	525
437	408	524
438	409	523
439	409	521
440	410	520
441	411	518
442	411	517
443	412	516
444	412	514
445	413	513
446	413	512
447	414	510
448	416	510
449	416	509
450	417	507
451	417	506
452	418	505
453	419	503
454	419	502
455	420	501
456	420	499
457	421	498
458	422	497
459	422	496
460	423	494
461	423	493
462	424	492
463	424	490
464	425	489
465	426	488
466	426	486
467	427	485
468	427	484
469	428	483
470	429	482
471	430	481
472	430	480
473	431	478
474	431	477
475	432	476
476	433	474
477	433	473
478	434	472
479	435	471
480	435	470
481	436	468
482	436	467
483	437	466
484	438	465
485	438	463
486	439	462
487	439	461
488	440	460
489	441	459
490	441	457
491	442	456
492	443	455
493	443	454
494	444	453
495	444	451
496	445	450
497	445	449
498	447	448
499	447	447
500	448	446
501	448	445
502	449	444
503	450	442
504	450	441
505	451	440
506	451	439
507	452	438
508	453	437
509	453	435
510	454	434
511	454	433
512	455	432
513	456	431
514	456	430
515	457	428
516	457	427
517	458	426
518	459	425
519	460	424
520	460	423
521	461	422
522	461	421
523	462	420
524	463	418
525	463	417
526	464	416
527	464	415
528	465	414
529	466	413
530	466	412
531	467	411
532	467	409
533	468	408
534	468	407
535	469	406
536	470	405
537	470	404
538	471	403
539	472	402
540	472	401
541	473	399
542	473	398
543	474	397
544	475	396
545	475	395
546	476	394
547	476	393
548	477	392
549	478	391
550	478	390
551	479	389
552	479	387
553	480	386
554	481	385
555	481	384
556	482	383
557	482	382
558	483	381
559	484	380
560	484	379
561	485	378
562	485	377
563	486	376
564	486	374
565	487	373
566	488	372
567	488	371
568	489	370
569	490	369
570	490	368
571	491	367
572	492	366
573	492	365
574	493	364
575	493	363
576	494	362
577	494	361
578	495	360
579	496	359
580	496	358
581	497	357
582	498	356
583	499	355
584	499	354
585	500	353
586	500	352
587	501	351
588	502	350
589	502	349
590	503	348
591	504	347
592	504	346
593	505	345
594	505	344
595	506	343
596	506	342
597	507	341
598	508	340
599	509	339
600	509	338
601	510	337
602	510	336
603	511	335
604	511	334
605	512	333
606	513	332
607	513	331
608	514	330
609	515	329
610	515	328
611	516	327
612	517	326
613	517	325
614	518	324
615	519	323
616	520	323
617	522	322
618	523	321
619	524	321
620	524	320
621	525	319
622	526	318
623	526	317
624	527	316
625	528	315
626	528	314
627	529	313
628	530	312
629	530	311
630	531	310
631	531	309
632	532	308
633	533	307
634	534	307
635	535	306
636	535	305
637	536	304
638	537	303
639	537	302
640	538	301
641	538	300
642	539	299
643	540	298
644	540	297
645	541	296
646	542	295
647	542	294
648	543	293
649	543	292
650	544	291
651	545	290
652	545	290
653	546	289
654	547	288
655	548	287
656	549	286
657	549	285
658	550	284
659	550	283
660	551	282
661	552	281
662	552	280
663	553	280
664	554	279
665	554	278
666	555	277
667	556	276
668	556	275
669	557	274
670	557	273
671	558	272
672	559	271
673	559	270
674	560	269
675	561	268
676	561	267
677	562	267
678	562	266
679	563	265
680	563	264
681	564	263
682	565	262
683	566	261
684	566	260
685	567	259
686	567	258
687	568	257
688	569	256
689	569	255
690	570	254
691	570	254
692	571	253
693	572	252
694	572	251
695	573	250
696	573	249
697	574	248
698	574	247
699	575	246
700	576	245
701	576	244
702	577	243
703	578	243
704	578	242
705	579	241
706	579	240
707	580	239
708	580	238
709	581	237
710	582	236
711	582	235
712	583	234
713	584	233
714	584	233
715	585	232
716	585	231
717	586	230
718	586	229
719	587	228
720	588	227
721	588	226
722	589	225
723	589	224
724	590	223
725	591	223
726	591	222
727	592	221
728	592	220
729	593	219
730	594	218
731	594	217
732	595	216
733	595	215
734	596	215
735	597	214
736	597	213
737	598	212
738	599	211
739	599	210
740	600	209
741	600	208
742	601	208
743	601	207
744	602	206
745	603	205
746	603	204
747	604	203
748	604	202
749	605	201
750	606	200
751	606	200
752	607	199
753	607	198
754	608	197
755	609	196
756	609	195
757	610	194
758	611	194
759	611	193
760	612	192
761	612	191
762	613	190
763	613	189
764	614	188
765	615	187
766	615	187
767	616	186
768	616	185
769	617	184
770	618	183
771	618	182
772	619	181
773	619	180
774	620	180
775	621	179
776	621	178
777	622	177
778	622	176
779	623	175
780	624	174
781	624	174
782	625	173
783	625	172
784	626	171
785	627	170
786	627	169
787	628	169
788	629	168
789	629	167
790	630	166
791	631	165
792	631	164
793	632	164
794	632	163
795	633	162
796	634	161
797	634	160
798	635	159
799	635	158
800	636	158
801	637	157
802	637	156
803	638	155
804	638	154
805	639	153
806	640	153
807	640	152
808	641	151
809	641	150
810	642	149
811	643	148
812	643	148
813	644	147
814	644	146
815	645	145
816	646	144
817	646	143
818	647	143
819	648	142
820	649	141
821	649	140
822	650	139
823	651	139
824	651	138
825	653	137
826	653	136
827	654	135
828	655	135
829	655	134
830	656	133
831	656	132
832	657	131
833	658	131
834	659	130
835	659	129
836	660	128
837	660	127
838	661	126
839	661	126
840	662	125
841	663	124
842	663	123
843	664	122
844	665	122
845	666	121
846	667	120
847	667	119
848	668	118
849	668	118
850	669	117
851	670	116
852	670	115
853	671	114
854	672	113
855	672	113
856	673	112
857	674	111
858	674	110
859	675	109
860	675	109
861	676	108
862	677	107
863	678	106
864	678	105
865	679	105
866	680	104
867	680	103
868	681	102
869	681	101
870	682	101
871	683	100
872	683	99
873	684	98
874	685	97
875	685	97
876	686	96
877	686	95
878	687	94
879	688	93
880	688	93
881	689	92
882	690	91
883	691	90
884	691	89
885	692	89
886	692	88
887	693	87
888	694	86
889	694	85
890	695	85
891	695	84
892	696	83
893	697	82
894	697	81
895	698	81
896	698	80
897	699	79
898	699	78
899	700	77
900	701	77
901	702	76
902	702	75
903	703	74
904	704	73
905	705	73
906	705	72
907	706	71
908	706	70
909	707	69
910	708	69
911	709	68
912	709	67
913	710	66
914	710	66
915	711	65
916	711	64
917	712	63
918	712	62
919	713	62
920	714	61
921	715	60
922	716	59
923	716	58
924	717	58
925	718	57
926	718	56
927	719	55
928	719	55
929	720	54
930	721	53
931	721	52
932	722	51
933	722	51
934	723	50
935	724	49
936	724	48
937	725	47
938	725	47
939	726	46
940	727	45
941	727	44
942	728	44
943	729	43
944	729	42
945	730	41
946	730	40
947	731	40
948	732	39
949	732	38
950	733	37
951	734	37
952	734	36
953	735	35
954	735	34
955	736	33
956	737	33
957	737	32
958	738	31
959	738	30
960	739	30
961	740	29
962	740	28
963	741	27
964	741	26
965	742	26
966	742	25
967	743	24
968	744	23
969	744	23
970	745	22
971	746	21
972	746	20
973	747	19
974	748	19
975	748	18
976	749	17
977	749	16
978	750	16
979	751	15
980	751	14
981	752	13
982	752	13
983	753	12
984	754	11
985	754	10
986	755	9
987	755	9
988	756	8
989	756	7
990	757	6
991	758	6
992	758	5
993	759	4
994	760	3
995	760	3
996	761	2
997	761	1
998	762	0
999	763	0
